Application #,Patent #
"13/565,096","9,048,524"
"11/537,670","8,750,334"
"09/677,308",6640222
"10/060,642",6934549
"09/705,982",6775536
"10/740,278","7,242,955"
"10/449,263",7023814
"10/453,003",6691028
"14/015,562","9,094,272"
"09/974,020",6952457
"09/886,640","6,526,031"
"08/856,958",5959546
"13/467,389","8,787,773"
"09/885,514",7170896
"11/746,455",7983428
"11/766,921","9,122,092"
"12/047,589","8,576,096"
"09/872,783",7068719
"10/700,212","6,967,700"
"09/524,066",6859456
"09/127,266",6125110
"12/339,914",8223426
"12/837,314","8,638,951"
"08/740,937",5697538
"11/026,740",7415041
"09/819,398",6879623
"13/645,664","8,763,042"
"08/614,604","5,862,493"
"08/922,715",6611197
"11/311,518","7,640,020"
"09/444,952",6275693
"12/431,305","8,208,434"
"10/616,112",7362724
"08/771,597",5930268
"10/331,733",6729547
"09/873,489",6754854
"08/893,755",5930748
"08/623,092",5745203
"08/639,013",5963848
"12/123,606","8,320,878"
"08/990,130",6385548
"09/136,242",6081510
"08/740,635",6219703
"10/881,252",8000268
"11/421,014","8,150,403"
"09/020,970",6339612
"08/656,027",5764104
"11/641,627",8150475
"10/170,951",8255989
"09/246,996",6167268
"10/952,216",7283138
"08/616,845",5809025
"09/504,651",6728218
"10/952,116","7,606,303"
"09/606,136",6292307
"12/254,819","8,194,991"
"10/750,593",7705565
"10/726,233",7417968
"11/399,269",7492739
"09/339,417",6553017
"09/154,270",6069530
"09/079,013",6134336
"08/617,715",6313736
"08/557,657","5,771,353"
"09/131,302",6047066
"09/132,447",6377161
"12/237,007","8,522,326"
"13/863,477","8,958,794"
"13/611,682","8,854,309"
"11/693,445",7729106
"13/087,843","9,130,916"
"13/677,999","8,874,052"
"09/070,316",6285786
"10/246,337","7,831,992"
"11/108,025",7393716
"08/677,478",6009336
"09/127,801","6,116,960"
"09/198,095",6425002
"10/423,751",6972692
"08/662,573",5831479
"11/146,822",7496348
"08/832,009",5884266
"13/727,702","9,143,291"
"08/753,070",5845213
"12/187,423","8,209,190"
"13/414,812","8,254,937"
"10/899,292","7,860,046"
"11/418,700",8463270
"09/539,389",6850777
"11/967,971",7899051
"08/589,684",5777903
"09/217,775",6169903
"11/275,260",7477738
"13/645,781","9,002,167"
"08/960,475",6084967
"09/753,158",6445588
"11/471,242",7729273
"11/277,377",7482937
"10/637,124",7715333
"10/411,530",6738019
"12/879,838","8,521,218"
"10/324,677",7081874
"09/135,441",6184751
"08/554,061",5541019
"29/426,710",D693785
"11/000,722",7580518
"12/982,935","8,272,024"
"10/215,810",7024353
"08/805,540",5864807
"11/673,384",7395037
"08/937,298","5,834,135"
"10/986,699",7623066
"11/301,403",7873111
"11/426,710",8170604
"13/587,314","9,025,478"
"11/531,329",7480346
"10/648,549",7894355
"10/439,743",7242941
"13/285,507","8,832,799"
"09/746,891",6356054
"13/115,139","8,925,022"
"08/350,777",6243056
