Application #,Patent #
"10/600,487",7088220
"09/244,145",6216015
"08/954,653",5931513
"10/625,389",7487199
"11/695,951",7786901
"09/182,709",6289224
"11/274,653",7307523
"11/317,157",7747004
"09/407,557",6480717
"12/534,957",8656579
"11/037,439","8,351,514"
"09/071,045",6335768
"12/878,839","9,026,581"
"10/334,158","7,197,331"
"13/964,028","9,182,903"
"09/774,893",7003045
"12/705,806","8,005,987"
"09/833,291",7027398
"08/746,110",5812540
"09/212,672",6148206
"12/322,125",8047878
"09/813,769",7150035
"12/908,111","8,688,826"
"09/175,050",6154485
"10/683,760","7,050,773"
"12/901,594",8457673
"09/271,931",6215999
"09/502,132",6868132
"10/295,123",6671518
"10/228,567",6850284
"13/361,904",8437802
"11/679,272","8,126,076"
"12/822,081","8,300,845"
"11/549,715",7856238
"09/014,786",6054653
"13/270,155",8184914
"13/652,892","9,203,458"
"12/057,044",8373742
"13/207,394","8,856,509"
"11/424,465",7590434
"12/961,469","8,799,816"
"09/071,732","6,505,055"
"29/417,968",D705186
"11/970,813",7898481
"12/776,499","8,391,173"
"08/731,108",5745867
"12/139,700",7965683
"09/534,371",6721333
"10/301,284",7373138
"10/027,365",6801783
"10/366,860",7269152
"10/904,860",7220021
"10/541,098",7299051
"09/676,309",6542753
"11/152,608",7466962
"09/711,105","6,826,388"
"09/916,816","6,438,764"
"08/672,819",5761293
"11/267,991",7463881
"10/200,846","6,839,542"
"12/405,046","8,934,417"
"08/594,978",5815807
"11/448,241",8016192
"11/021,168",7818401
"09/539,826","6,631,259"
"11/613,354",7477196
"10/651,576",6985138
"08/220,949",6252516
"09/543,277",6490256
"09/425,254",6592272
"10/368,709","6,993,296"
"12/323,513",7910851
"11/013,865",7660431
"09/129,927",6107880
"29/478,449","D715,219"
"10/518,140",7430174
"08/720,062",5631103
"10/291,056",7054807
"10/263,065","7,277,392"
"12/188,664","8,259,825"
"11/612,459",7705728
"09/938,046",6982752
"10/001,495",7206044
"09/950,130",7116786
"11/242,457",7243149
"11/218,218",7826467
"13/970,757","8,879,722"
"12/195,837","8,463,412"
"09/243,677","6,167,235"
"10/091,666",6600450
"09/823,289",7068972
"10/334,849","7,734,549"
"10/319,173",7076234
"11/026,785",7676362
"09/115,279","6,091,332"
"09/871,833",6904097
"11/420,359",7757148
"10/845,000",7486623
"10/074,160",6922574
"11/957,790",7796083
"09/234,052",6427199
"08/686,638",5717307
"11/019,750",7184487
"10/331,849","7,194,254"
"12/712,732","8,539,476"
"10/463,745",7130275
"14/278,029","9,036,850"
"10/609,853",7176970
"09/903,175",7218666
"10/334,100",7212789
"13/167,750","8,724,314"
"09/185,899",6341222
"11/462,143",8175600
"09/845,263",6420928
"09/167,594",6433894
"08/758,019","5,867,140"
"13/924,838","9,203,489"
"09/812,994",6975621
"08/947,590",6041226
"11/066,090",7630722
"10/383,172",7142660
"09/317,512",6332072
"10/779,893",7742450
"08/591,066",5710639
"09/610,768",8374574
"09/148,062",6049323
"08/630,702",5822690
"09/012,815",6137837
"11/539,404","8,356,232"
"13/586,360","9,161,176"
"13/715,272","8,887,151"
"13/283,984","8,346,302"
"10/426,488","7,123,672"
"10/034,554",6667708
"13/431,189","9,124,676"
"12/242,150",8266684
"10/403,792","6,988,064"
"12/137,695",8223737
"12/859,514","8,767,596"
"09/449,951",6275193
"12/342,144",7974626
"12/210,734","8,948,094"
"10/739,801",7142537
"08/848,853",5800937
"09/062,626",6148177
"08/704,042",5892769
"10/431,249","6,993,342"
"12/208,379","7,962,127"
"09/030,663",6078821
"08/813,398",5849433
"08/778,799",5883886
"10/373,031",7085544
"08/564,460",5940452
"11/876,811",8051353
"10/122,779",6895254
"12/622,016","8,887,310"
"10/744,271","7,725,202"
"09/902,327",6901603
"09/166,755",6114969
"09/560,782",6477368
"13/076,919",8630798
"10/267,758",6782272
"13/252,716","9,197,691"
"11/966,536",8300560
"12/399,078",8054808
"09/799,436",6344727
"10/568,140",7493087
"08/572,211",5793866
"11/300,529",7912032
"09/867,015",6699611
"10/284,745","6,758,303"
"08/564,763",6023615
"10/804,918",7188167
"09/009,497",5952886
"09/663,278",6895444
"10/334,292",7130339
"09/792,057",7298697
"10/179,076",7243134
"10/041,338",6839391
"09/896,997",6765882
"11/854,098","7,594,318"
"10/631,583",7079609
"10/400,845",7089176
"11/686,426","8,665,778"
"13/776,099","9,091,715"
"09/585,729",6594389
"09/736,799",6895246
"13/278,429",8484363
"11/456,719",8049720
"11/510,548",7682733
"08/662,592",5742594
"10/632,660","7,315,967"
"10/373,020","7,103,337"
"09/961,049",6934561
"08/794,696",5911124
"12/137,820","8,902,821"
"09/587,969",6275111
"11/003,242",7446795
"08/866,541",6049532
"11/287,661",7309982
"13/533,937","9,104,233"
"11/473,025",7697451
"10/277,407",7177803
"10/696,042","7,684,813"
"09/925,948",6727016
"08/923,190","6,173,005"
"11/095,910",7262724
"09/028,043",6052561
"11/073,006",7702031
"09/313,730",6735423
"13/343,304","8,842,429"
"13/458,472","8,868,736"
"13/168,932","8,938,809"
"09/078,794","5,933,330"
"08/807,509","5,912,878"
"10/613,682","6,861,989"
"09/796,335",6496709
"10/282,655",7421264
"08/829,564",5991262
"09/072,795",6165233
"13/949,587","9,183,370"
"09/614,026",7177652
"13/667,992","9,185,428"
"10/327,835",7111089
"09/027,783",6215360
"09/273,236",6356708
"09/919,050",7133474
"11/539,786",7564901
"09/037,676",6169731
"08/900,588",6117585
"09/664,148",6879998
"09/235,952",6321197
"12/263,819","8,326,918"
"12/478,449","8,059,586"
"13/040,090",8165586
"13/183,846","9,077,848"
"10/955,395",7102577
"11/554,689",7656978
"09/152,645",6426983
"10/231,833",6904081
"12/535,577",8351336
"08/794,520",5688483
"13/342,220","8,892,763"
"13/571,279",8522361
"10/042,897",6799038
"10/161,001","7,064,706"
"10/993,977",8032917
"10/232,787",6888607
"12/545,292","8,456,430"
"11/885,167","8,572,250"
"08/561,010",5966120
"08/827,014",6137802
"08/561,410",5877812
"13/431,133","8,922,980"
"12/749,556","8,004,469"
"10/292,094",7152033
"09/517,101",6480827
"08/775,900",5905448
"13/397,246","9,148,903"
"11/427,520",7778652
"09/830,306",8050912
"10/648,690",7336620
"13/098,446",8553397
"08/992,483",6278604
"11/148,902",7395202
"09/088,526",6072250
"12/341,633","9,002,416"
"13/305,009","8,766,805"
"13/253,385","9,172,967"
"11/347,327",7646264
"09/496,868",6553342
"10/334,845","7,181,689"
"14/486,197","9,176,615"
"12/323,559",8576179
"11/212,135","8,509,735"
"12/395,996",8131214
"09/071,047",6185305
"11/218,017",7742771
"09/629,033",6466938
"10/806,581",7176980
"12/756,777","8,730,925"
"10/323,036",6942939
"08/716,964",5767786
"09/238,958","6,115,072"
"11/278,436",7649873
"11/025,029",7450180
"10/837,183",7335432
"10/478,090",7280501
"12/202,590","8,483,175"
"09/866,291",6963574
"12/112,031",8195250
"09/788,192","6,917,611"
"12/603,354",8643551
"08/309,280",6133657
"10/331,295","6,839,576"
"09/038,918",6177881
"09/002,628",5937823
"10/159,663",7409218
"13/536,352","8,970,455"
"09/087,165",6137994
"09/890,178","6,839,841"
"09/111,941",6480096
"09/046,012",6157638
"11/743,180",7436365
"10/108,602",6657490
"11/468,974",7542422
"10/255,340",6782251
"09/578,433",6584301
"12/648,768",8788810
"11/419,856",7864657
"09/656,189",6452979
"09/000,985",6175587
"11/276,429",7463113
"09/638,182",6470180
"08/978,900",6108109
"09/545,125",6768908
"09/932,850",7020394
"11/610,155",8391501
"11/021,350","8,873,768"
"29/485,246","D721,984"
"08/740,632",6002937
"10/245,963",7283956
"13/429,886","9,014,245"
"09/599,355","7,181,223"
"10/494,245","7,386,064"
"12/427,219",8355360
"08/616,797",5778030
"11/957,671","8,140,606"
"11/387,750",7839927
"13/342,462","9,043,201"
"09/315,465","6,252,862"
"11/714,659","8,965,695"
"11/652,931","8,145,869"
"08/873,533",5960387
"09/087,889",6106969
"10/200,367",6769086
"10/073,029",7116950
"10/979,935",7505438
"09/314,819","7,031,271"
"08/707,543",5828295
"12/344,760","8,030,914"
"11/306,514","8,977,275"
"11/239,261",7805763
"10/091,035",7058018
"09/497,600",6311066
"09/204,702",6233231
"11/873,176","8,883,371"
"08/728,731",5855003
"11/855,513",8013717
"11/214,548","7,991,813"
"11/767,147",7499257
"10/094,478",7003305
"08/718,797",5747970
"13/101,809","9,020,043"
"13/277,242",8508679
"12/410,449","8,400,951"
"10/965,052",7260420
"09/366,100","6,157,844"
"09/591,682",7089344
"10/256,892","7,282,283"
"09/473,750",6463556
"08/856,674",5991912
"11/066,639",7363492
"14/098,884","9,029,780"
"09/764,739",6937617
"12/032,258","8,015,005"
"09/399,406",6272192
"11/388,061",7590186
"11/558,087","7,836,095"
"09/027,497",6136469
"10/411,063",7231516
"08/623,244",5657409
"12/192,164","8,000,293"
"09/703,051",6785321
"10/854,047","7,176,956"
"11/616,111",7996019
"10/803,683",7136641
"14/579,034","9,232,266"
"12/338,338",7843970
"09/224,500",6134226
"11/756,034","7,944,981"
"10/820,520",7558589
"11/945,415",7924941
"11/468,888",7508300
"12/726,747",8017864
"13/297,965","9,098,069"
"09/885,802","6,973,030"
"11/682,947",7873010
"11/765,160","8,620,320"
"10/138,681",7184730
"10/426,751","7,069,211"
"09/590,594",7054386
"12/108,719","9,171,569"
"10/894,552","8,971,937"
"10/003,378",7142542
"14/200,381","9,175,176"
"12/848,448","8,611,442"
"08/735,446",5928377
"11/007,142",7634159
"09/378,932",6470365
"11/247,425",7502909
"08/949,111",6061449
"12/054,154","8,489,576"
"09/503,021",6304581
"09/702,383",6785339
"10/945,692","7,242,722"
"11/768,215",7724707
"13/178,441","9,210,624"
"09/697,373","6,590,303"
"11/565,537","8,018,895"
"09/671,941",6996547
"10/649,999",7536186
"12/204,939",8082414
"08/706,751","5,945,948"
"08/940,300",5872777
"11/467,681","7,623,597"
"11/830,319",7839414
"10/928,789",7239886
"12/144,477","7,764,237"
"09/035,140",6201968
"10/662,690",7328436
"09/612,794",6628953
"12/983,121","8,682,388"
"13/528,911","8,959,574"
"08/664,747",5692019
"11/152,648",7634223
"08/986,137",6157726
"10/631,799",7187940
"09/151,567",6113653
"09/697,587",6856628
"09/432,941","6,434,158"
"10/421,002","7,062,240"
"09/524,309",6661853
"09/685,447",6771657
"10/397,033",7383175
"08/763,159",6011579
"09/602,977",6505049
"09/546,337",6406808
"12/173,804",7860002
"12/178,754","8,379,601"
"13/346,298","8,890,823"
"09/586,064","6,898,285"
"11/616,470",7600925
"10/949,584",7881463
"09/643,121","6,597,890"
"08/660,788",5716725
"11/289,858","7,730,385"
"12/694,007",7953678
"08/842,103",6006067
"08/672,155",5878098
"11/695,916",7519381
"11/621,125","8,098,644"
"11/617,091",8583189
"10/198,487",6885708
"10/872,311",7580725
"11/459,629",7620175
"09/095,670",5999046
"10/686,085","7,170,994"
"13/006,125","8,442,564"
"08/818,114",5905803
"08/741,183","5,950,131"
"11/026,727","7,139,586"
"12/344,821",8160019
"10/610,746","7,447,735"
"12/024,620","8,433,582"
"11/026,379",7181222
"13/188,419",8537658
"14/048,230","9,112,859"
"10/447,796",7474624
"90/009,286","5,764,899"
"08/777,370",6018521
"08/936,789",5986878
"11/351,304","7,706,249"
"13/205,681","9,066,121"
"09/096,635",6041048
"11/627,563",7778343
"08/605,827",5806023
"11/924,254",7925116
"12/249,666",7999660
"12/900,186","8,710,968"
"09/086,509",6188979
"10/377,233",7035658
"09/596,100",6363139
"09/551,382",6543012
"10/388,774","6,983,169"
"09/031,605",6039608
"09/053,099",6272219
"10/184,278",7068782
"09/765,857",7076000
"08/775,048",5838707
"10/062,784",6687486
"09/655,255",6285282
"10/295,176",6829492
"10/006,464",6868123
"08/989,695",5881069
"11/143,169",7406212
"13/549,666","8,868,123"
"11/689,436",7800622
"11/098,131",7529211
"08/851,759",6108315
"09/909,107",6483913
"12/172,381",8094748
"13/324,063","8,762,546"
"08/962,581",6002678
"13/407,116","8,988,349"
"08/786,586",5893044
"11/465,011",7257280
"13/669,730","8,737,551"
"13/676,513","8,818,305"
"11/426,618",7830565
"13/285,485",8422394
"08/926,581",6044260
"09/373,040",6347140
"11/421,807",7545769
"10/997,482","7,675,923"
"09/524,064",6633672
"29/448,214",D707696
"09/511,227",6295200
"12/609,420",8812985
"10/895,695",7443657
"13/356,665","8,345,790"
"09/599,293",6401242
"10/937,909","7,616,654"
"08/763,386",5832038
"08/641,716",5688614
"08/699,322",5867064
"10/680,690","7,305,251"
"08/948,713",6456852
"12/981,352","8,634,348"
"09/021,620",6330285
"10/268,230",6836212
"12/240,253","8,687,566"
"10/973,555","7,224,970"
"09/097,764",6075794
"10/324,486",6939641
"10/974,625","7,904,094"
"08/862,872",5878035
"09/081,843",6115620
"14/160,598","9,008,665"
"08/978,938",6044252
"10/280,903","6,807,317"
"13/758,297","9,049,688"
"10/776,982",7916811
"09/617,067",7430459
"09/087,167",6266530
"11/625,417",7397402
"12/133,755",8340116
"10/334,260","6,931,477"
"13/350,559",8780690
"11/254,823",7490036
"12/345,731",8384756
"08/696,082",5893024
"08/720,887",5745844
"11/956,526",7786633
"09/706,980",6771960
"12/948,264","8,836,857"
"09/013,421",5974079
"10/228,484",6914913
"12/112,577","8,458,558"
"09/322,674",6363349
"09/930,357",6583716
"11/857,545",7843873
"10/268,824","7,155,219"
"08/560,008",5771239
"09/602,171","6,289,220"
"11/026,395","7,421,025"
"11/275,937",7493548
"12/040,436","9,130,712"
"08/964,618",5961810
"10/902,330",7088867
"11/025,508",7683965
"11/757,563","8,929,280"
"10/972,737",7269504
"10/830,845",7873738
"08/808,446",5974042
"09/886,346","6,941,149"
"11/170,358","7,961,900"
"10/999,732",7512138
"10/608,318",7208247
"12/791,329","8,885,577"
"08/763,267",6256008
"08/994,587","5,991,628"
"12/549,468",8538890
"13/277,240","8,766,119"
"10/903,381",7084535
"08/583,736",5694434
"12/859,545","8,625,442"
"13/942,159","9,152,131"
"10/237,573",6756882
"13/346,612","8,878,788"
"09/639,433",6360097
"09/078,733",6137867
"10/695,124","7,643,564"
"13/456,605",8750434
"12/844,468","8,941,623"
"10/426,482",6774737
"08/657,925",5940445
"11/461,922","8,364,120"
"10/736,270",6993336
"09/352,173",6396890
"08/694,552",5935220
"29/425,332",D688222
"11/174,361",7617319
"12/480,289",8244317
"08/792,557",5771229
"09/217,158",6148208
"11/042,693","7,068,230"
"13/656,863","9,107,065"
"09/712,812",6909741
"08/794,708",5903844
"12/260,614",8574731
"11/610,822",7499797
"09/453,609",6278453
"09/489,320",6373433
"08/702,782",5831491
"09/556,385",6526275
"10/016,699",7148878
"11/960,106","8,509,776"
"10/770,993",7152190
"11/624,407","8,254,537"
"13/677,576","8,904,444"
"08/769,562",5987012
"11/612,617",8116244
"11/242,456",7706330
"12/430,492","9,188,457"
"10/184,460",7653413
"09/973,339",6813736
"11/298,398","7,643,856"
"10/210,671",6754193
"12/808,282",8611409
"11/459,064",7894511
"11/690,484",7351065
"09/589,705",6449312
"12/570,140",8514187
"08/869,493",6057884
"10/654,227","7,400,856"
"11/554,892",7705838
"09/455,951",6253223
"10/702,714",7110559
"08/942,106","5,956,226"
"11/316,130","8,406,426"
"11/864,178",8364020
"10/929,614",7580723
"12/267,385",8265678
"10/180,844","6,766,171"
"09/104,631","6,421,347"
"12/338,637",8207897
"11/561,931",7590886
"11/012,576",7106865
"12/625,918","8,798,243"
"08/905,775",6282189
"09/015,690",6192029
"07/955,768",6308077
"12/133,885",7945768
"08/822,399",5930304
"09/293,318","6,192,040"
"10/410,421",6997379
"11/565,234","7,642,933"
"10/999,670",7720350
"13/458,504","8,867,371"
"12/912,961",8111746
"11/191,450",7720449
"10/387,309",6767256
"11/673,292",8396734
"13/759,089","8,897,812"
"11/938,547",8261154
"11/411,696",7724894
"11/412,605",7769365
"12/643,211","8,619,029"
"11/246,357",7236477
"11/415,793",8279797
"09/116,910",6215780
"10/609,949",7630705
"11/189,077",7616967
"10/342,539",7251328
"08/692,630",5652616
"09/865,840",6798441
"09/737,607","6,625,621"
"10/427,361","7,321,780"
"11/216,776","7,231,237"
"13/924,745","8,848,815"
"08/769,813",6208839
"13/588,885","8,948,249"
"12/783,959",8374984
"11/529,834",7683994
"13/286,693","8,711,723"
"10/331,294","6,856,792"
"12/976,659",8615076
"11/846,061","8,786,759"
"12/956,349","8,638,929"
"11/027,357","7,414,983"
"10/192,956",7099294
"08/988,862",6108389
"10/704,931","7,817,534"
"09/601,720",6658232
"10/397,027","7,203,254"
"11/621,385","7,957,360"
"08/640,197",6067457
"12/540,414","8,983,388"
"09/216,766",6236835
"13/691,124","9,143,543"
"09/097,575",6135582
"10/316,483","7,099,389"
"11/455,510","9,177,114"
"11/778,746","8,009,612"
"09/493,581",6171138
"08/874,813","5,916,699"
"09/617,194",6829313
"12/820,162","8,395,597"
"11/228,155","7,647,052"
"09/031,523",5940756
"13/399,020","8,484,530"
"09/693,067",6535127
"13/247,140","8,924,200"
"09/674,120",6421007
"12/809,650","8,396,467"
"11/313,571",7593706
"09/069,678",5930472
"13/626,923","9,129,600"
"11/377,802","7,439,679"
"08/865,319",5842130
"10/633,281",7349962
"09/803,748",6917913
"09/111,974","5,999,815"
"09/664,509",6658000
"10/724,943",7614069
"11/426,452",8532611
"10/719,342",7193622
"13/327,134","8,880,752"
"08/651,172",5809459
"10/509,766",7254184
"09/546,647",6580754
"11/275,206",7449667
"11/466,650","8,958,743"
"09/060,283",6333921
"09/083,075",6046402
"08/610,566",5758293
"10/904,587",7339636
"10/060,511",7299173
"08/644,465",6449305
"10/253,646",6771666
"13/786,980","9,053,332"
"09/145,807",5953053
"10/108,409",6944540
"11/744,681","8,687,561"
"10/261,523",6889049
"09/198,732",6587127
"10/719,574",6965776
"09/594,617",6731613
"10/742,813","7,366,489"
"08/120,144",6101421
"09/036,713",6132895
"12/952,222","8,560,026"
"29/305,310",D602457
"09/520,930",6434381
"10/150,844",6967989
"11/258,309",8144719
"10/978,215",7412149
"10/212,940","6,925,123"
"09/112,271",6292475
"08/596,845",5703571
"12/693,268","8,228,832"
"08/594,081",5873035
"08/594,462",5737332
"10/629,408",7145891
"13/782,190",8839362
"09/150,427","6,141,341"
"09/767,050",7020175
"09/409,556",6292573
"08/915,467",6728965
"10/301,076",7162094
"09/244,267",6246862
"10/331,255",6865401
"11/286,801","7,957,745"
"11/306,513","9,014,705"
"11/559,451",7953432
"10/012,988",6590610
"09/102,457","6,522,352"
"13/459,470",8588864
"10/263,006",6990734
"09/956,216",6813480
"11/194,224","9,184,898"
"11/423,162",7562290
"12/645,069",8155625
"09/541,327","6,175,273"
"11/567,612",7672594
"13/760,464","9,235,299"
"11/216,880",8126030
"13/101,904","8,806,545"
"09/741,984",6760602
"09/224,416",6081438
"09/818,027",6388449
"11/289,909",7801571
"09/994,269",6603406
"08/895,192",6070072
"09/059,113",6285681
"10/747,844","7,773,714"
"10/025,056",6728304
"09/822,656",6487407
"10/034,869","6,650,298"
"08/853,607",5893103
"08/616,801",5751763
"08/876,161",6006079
"09/215,969",6570856
"09/642,925","6,441,754"
"08/921,098",6023230
"08/696,446",5889791
"11/876,888",7653369
"08/578,760",5862480
"13/855,746","8,976,774"
"09/293,545",6137845
"10/022,463",6917916
"11/385,567","7,822,644"
"11/966,011","8,561,135"
"10/338,916","7,478,416"
"09/127,800","6,046,268"
"09/765,684",6466126
"09/030,091",6289203
"08/718,032",5681357
"10/661,755",7046799
"09/664,618","6,799,201"
"10/015,871",6662154
"09/584,626",6434366
"09/909,220",6963911
"08/453,217",6571091
"13/447,331","8,954,012"
"10/083,012","7,236,208"
"10/141,149",7047017
"09/721,331","6,625,420"
"11/749,054",7962102
"09/062,758",6074779
"11/652,924","7,924,456"
"12/510,574",8401532
"10/721,444",7801065
"08/895,391",5859522
"13/890,425","9,160,068"
"10/337,057","7,483,543"
"11/301,855","7,796,550"
"09/627,875",6246600
"08/775,656",5954817
"10/397,808",7418205
"11/549,863",8055309
"08/900,584",5886572
"09/362,589",6198931
"09/326,768",6236664
"12/142,932",8006101
"10/693,248",7212844
"11/391,042",7265724
"10/132,086",7099354
"12/622,418","8,665,227"
"10/128,929",7136811
"10/210,142",7085582
"11/253,036",7349685
"11/538,432","7,747,225"
"08/616,029",5742597
"09/928,607","6,584,825"
"08/773,798",5901346
"09/044,769",6141387
"13/246,280","8,923,167"
"09/710,290","6,640,184"
"08/957,196",5982363
"12/331,177",8255151
"08/197,908",6134521
"12/650,970","8,442,837"
"11/201,603",8295449
"13/626,106","9,198,200"
"09/689,070",6385242
"09/183,459",6127058
"08/609,755",5801684
"13/190,517","9,037,456"
"13/157,371","9,070,361"
"10/285,258",6992658
"10/689,303",7269146
"10/999,541",7447154
"10/497,118","8,599,848"
"10/002,880",7228415
"12/679,121","8,577,045"
"12/269,555",8430256
"08/654,901",5894320
"09/808,370",6834384
"08/560,219",5862140
"10/213,833","7,050,505"
"09/834,861",6985573
"11/301,925","8,880,462"
"11/030,859",7454616
"13/621,857","9,135,770"
"10/133,870",6639973
"09/614,161",7146189
"13/331,751","8,811,588"
"11/841,103","8,879,565"
"08/657,126",5650763
"13/708,239","9,049,650"
"08/568,094",5732350
"10/610,285",8090396
"10/027,465",6961572
"10/261,991",6804253
"10/960,456","7,103,391"
"12/428,642",8254837
"09/356,953",6181216
"08/846,767",6094428
"09/199,114",6298084
"10/616,657",7120423
"10/304,429",6777727
"11/383,509","8,712,766"
"08/802,832",5892410
"08/926,074",6049537
"09/124,946","6,130,883"
"09/250,699",6625810
"13/803,730",9247399
"08/911,901",5946039
"09/836,006","6,925,501"
"08/855,376",5983092
"11/954,255",8194622
"09/584,062",6438519
"13/713,045","9,037,682"
"08/680,079",5790044
"09/645,831",6530056
"08/609,754",5777558
"09/235,956",6336091
"08/888,552",6122271
"08/639,457",5751813
"13/194,503","8,937,987"
"09/661,739",7062544
"09/594,987","6,351,653"
"10/117,938",7421083
"08/685,301",5842127
"08/885,003",5856766
"13/364,205",8761826
"11/855,583",7724196
"13/470,933","8,982,693"
"12/542,584",8422956
"10/335,605",7272364
"10/170,982",6885638
"09/283,352",6072987
"13/417,478","8,582,538"
"12/345,117","8,219,408"
"11/321,311",7619606
"08/115,975",5859594
"09/268,570",6374100
"10/365,820",7319958
"09/604,212","6,402,010"
"11/959,726",7657614
"09/497,354",6141559
"11/250,582",7425100
"09/072,165",6154537
"09/225,753",6459686
"09/712,767",6476776
"10/634,610",7170341
"09/921,392",7113771
"09/256,031",6233557
"11/243,102","7,423,997"
"09/553,252",6882856
"08/996,754",5912586
"09/412,826",6286032
"08/953,948",6058106
"11/694,549",7539796
"11/390,873",7479928
"12/345,002","8,185,049"
"11/539,358",7505651
"13/221,430","8,611,837"
"12/692,834",8165597
"09/074,750",6178327
"10/747,831","7,051,938"
"11/863,429",7521995
"12/471,852","8,379,632"
"13/568,193","9,106,939"
"10/738,861",7043226
"10/406,179","6,822,969"
"13/470,841","9,198,070"
"09/837,496",7016407
"29/445,728",D707196
"09/766,515",6813273
"10/435,979",7269563
"09/456,921",6418149
"29/445,589",D707199
"08/255,128",6212470
"11/470,034","7,742,697"
"13/586,993","8,706,061"
"11/616,811","8,421,931"
"09/127,799",6068946
"13/862,321","9,055,346"
"10/372,950",7110730
"12/417,811","7,944,888"
"08/641,797",5987018
"10/695,513","8,107,885"
"10/879,415",7139246
"13/727,683","9,185,697"
"09/598,602",6443340
"08/711,696",5956729
"11/616,347","7,653,130"
"09/108,512",6173431
"13/305,035","8,766,593"
"08/765,675",5784585
"08/643,688",5740532
"10/687,943",7132192
"09/347,675",6262629
"11/865,723","9,066,264"
"10/231,851",6889052
"12/817,350","9,026,081"
"08/885,163",6002676
"10/201,244",7162740
"08/777,319",6034950
"12/550,432","8,285,221"
"09/565,302",7120926
"12/211,383",8111693
"08/775,325",5746585
"11/325,048",7516471
"12/645,928","8,494,575"
"10/630,487","7,024,183"
"09/995,084",6741844
"11/969,748","7,920,494"
"12/045,094",8831116
"09/397,691",6623945
"09/009,477",6035182
"11/427,715","7,764,322"
"12/345,752",8107956
"10/278,377",7343283
"08/854,197",5966101
"12/430,883",8437798
"13/431,493","9,143,586"
"11/967,592","9,223,938"
"10/068,445",6791958
"09/023,143",6198406
"08/561,296",5956088
"11/971,521","9,106,490"
"12/188,053","8,144,712"
"11/117,047","7,801,527"
"08/989,918",6067364
"08/596,533",5712593
"10/640,110","7,050,514"
"09/653,109",6701162
"10/645,246","7,194,261"
"90/010,635",6252515
"13/716,319","9,118,394"
"10/192,920","7,352,867"
"10/700,716",7117001
"10/085,989",6912581
"11/231,171",7603492
"08/627,538",5696794
"10/027,488",7099290
"11/426,636",7643819
"10/988,897",7096401
"13/731,653","8,973,104"
"09/226,770",6021216
"10/046,444",7088770
"12/650,673",8589968
"09/040,047",6166787
"09/643,535",6570362
"09/553,722",6444904
"12/059,081",7792165
"10/719,512",7196734
"10/820,524",7512278
"13/609,973","9,052,795"
"09/875,474",7315567
"09/921,894",6639249
"29/500,780","D735,069"
"09/777,189",6438114
"08/944,059",5759719
"09/537,543",6643508
"12/908,933","9,107,118"
"12/433,312",8493364
"09/259,011",6324407
"11/966,463",8007110
"10/334,472",7489928
"09/709,716","7,623,447"
"09/067,779",6151572
"08/794,312",6331972
"11/262,424",7205914
"11/042,890","7,091,911"
"11/958,093","8,340,492"
"12/975,972","8,904,173"
"09/298,896",6220637
"13/406,613","8,437,581"
"14/048,088","9,173,021"
"10/452,410",6859464
"10/014,676",7515568
"10/158,998",7177657
"12/488,075","8,787,468"
"08/769,563",5920549
"09/102,957","6,088,340"
"08/877,142",6011510
"13/208,738","8,797,286"
"10/134,840","6,618,365"
"08/665,624",5787116
"09/096,664",6272333
"09/034,281",6442216
"08/656,132",5761193
"11/558,207","7,839,931"
"10/806,644",7132745
"09/633,966",6622278
"11/027,888","7,660,353"
"11/559,965",8467448
"08/582,856",5754599
"09/322,846",6292781
"08/583,364",5799012
"12/972,716",8331394
"09/022,828",6151497
"11/021,395",7936894
"11/442,263",7248842
"08/621,851",5625683
"13/830,452","9,152,211"
"09/216,770",6160713
"11/392,077","8,249,607"
"10/775,987",7129854
"10/670,577","7,742,788"
"09/041,898",6009091
"11/216,140",7472247
"10/403,682",6798869
"08/338,993",5835785
"10/096,460",7313198
"14/217,719","9,078,278"
"12/858,155","7,903,721"
"11/323,178",7479927
"09/031,649",5940757
"09/201,052",6487181
"11/436,242","7,471,942"
"12/469,759",8081985
"09/016,878",6044153
"11/248,646","7,400,597"
"08/939,224","5,894,246"
"13/355,626","9,110,280"
"11/376,011","7,688,835"
"08/627,719",5781530
"11/337,753","8,145,251"
"11/280,990",7499700
"09/738,130",6696189
"10/413,644",6891991
"11/843,334",8588351
"11/007,465",7539214
"11/025,518",7810105
"09/359,169",6671882
"11/165,316",7456793
"11/358,387",7706763
"08/937,980",5837015
"13/625,090","8,760,222"
"12/142,004","8,055,602"
"11/567,623",8267598
"12/464,189",8082000
"10/279,651",6791968
"08/843,905",5815804
"11/953,922",7924763
"11/003,040",7825901
"09/094,865",6088240
"14/076,582","8,996,012"
"10/054,230",7126954
"09/191,929",6483851
"11/116,662",7480517
"11/399,906",7702711
"13/414,585","9,189,062"
"10/751,080","7,436,811"
"10/306,494","7,899,187"
"12/345,010","9,148,423"
"12/510,398",8311593
"10/195,258",6978136
"09/513,043",7042855
"13/407,026","8,947,382"
"11/614,447",7571479
"11/923,044",8139899
"10/375,438",7221722
"10/141,715",6765536
"13/428,464","8,995,366"
"10/899,859",7526001
"11/460,140","8,891,506"
"09/727,558",6731690
"11/167,795",7620385
"11/004,359","7,143,333"
"10/329,907",6859119
"13/008,924","8,527,283"
"10/328,687",7191127
"09/995,231",6885874
"08/574,737","5,764,899"
"09/127,935",6295282
